Np-ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.7979394169000003,1.7979371523
16,33554432,536870912,1.6614752362,1.6614744216
32,16777216,536870912,1.7270218665000001,1.7270191059999997
64,8388608,536870912,1.6360437528999998,1.6360417938
128,4194304,536870912,1.5943684108,1.5943647852000002
256,2097152,536870912,1.5693358418,1.5693273107
512,1048576,536870912,1.5398847867,1.5398685991999999
1024,524288,536870912,1.5288352513999999,1.5288037756
2048,262144,536870912,1.5263461111,1.5262814034999999
4096,131072,536870912,1.5215833683,1.5214552317999999
8192,65536,536870912,1.5176042240999998,1.5173419208999999
16384,32768,536870912,1.5182770265000003,1.5177360834
32768,16384,536870912,1.5217965890999998,1.5206474167
65536,8192,536870912,1.523132326,1.5208642601
131072,4096,536870912,1.5261076271,1.5215884826
262144,2048,536870912,1.5305083611,1.5214607417
524288,1024,536870912,1.5379927559,1.5208996765000002
1048576,512,536870912,1.5893694199000001,1.5561816525999999
2097152,256,536870912,1.7001032056,1.6334316673
4194304,128,536870912,1.7626059614999998,1.6306154377000002
8388608,64,536870912,1.893056897,1.6303585758
16777216,32,536870912,2.1537448770000003,1.6298820239
33554432,16,536870912,2.6703535367999995,1.625084446
67108864,8,536870912,3.7163000387000005,1.6262537042000003
134217728,4,536870912,5.8035597911,1.6252366202999997
268435456,2,536870912,9.9825565314,1.6260528541
536870912,1,536870912,18.340323703,1.6254394463000001
