Grid_X,Grid_Y,Total_Points,Iter,Interp,Mover,Total
250,100,100,1,0.0,0.0,0.0
250,100,100,2,0.0,0.0,0.0
250,100,100,3,0.0,0.0,0.0
250,100,100,4,0.0,0.0,0.0
250,100,100,5,0.0,0.0,0.0
250,100,100,6,0.0,0.0,0.0
250,100,100,7,0.0,0.0,0.0
250,100,100,8,0.0,0.0,0.0
250,100,100,9,0.0,0.0,0.0
250,100,100,10,0.0,0.0,0.0
250,100,10000,1,0.0,0.0,0.0
250,100,10000,2,0.0,0.0,0.0
250,100,10000,3,0.0,0.001,0.001
250,100,10000,4,0.0,0.0,0.0
250,100,10000,5,0.0,0.0,0.0
250,100,10000,6,0.0,0.0,0.0
250,100,10000,7,0.0,0.0,0.0
250,100,10000,8,0.0,0.0,0.0
250,100,10000,9,0.0,0.0,0.0
250,100,10000,10,0.001,0.0,0.001
250,100,1000000,1,0.013,0.011,0.024
250,100,1000000,2,0.02,0.012,0.032
250,100,1000000,3,0.011,0.012,0.023
250,100,1000000,4,0.014,0.01,0.024
250,100,1000000,5,0.011,0.012,0.023
250,100,1000000,6,0.015,0.016,0.031
250,100,1000000,7,0.018,0.018,0.036
250,100,1000000,8,0.015,0.017,0.032
250,100,1000000,9,0.013,0.011,0.024
250,100,1000000,10,0.015,0.011,0.026
250,100,100000000,1,1.105,1.182,2.287
250,100,100000000,2,1.115,1.155,2.27
250,100,100000000,3,1.098,1.129,2.227
250,100,100000000,4,1.06,1.108,2.168
250,100,100000000,5,1.05,1.151,2.201
250,100,100000000,6,1.09,1.472,2.562
250,100,100000000,7,2.129,2.233,4.362
250,100,100000000,8,2.548,2.072,4.62
250,100,100000000,9,2.365,2.126,4.491
250,100,100000000,10,2.397,2.16,4.557
500,200,100,1,0.0,0.0,0.0
500,200,100,2,0.0,0.0,0.0
500,200,100,3,0.0,0.0,0.0
500,200,100,4,0.0,0.0,0.0
500,200,100,5,0.0,0.0,0.0
500,200,100,6,0.0,0.0,0.0
500,200,100,7,0.0,0.0,0.0
500,200,100,8,0.001,0.0,0.001
500,200,100,9,0.0,0.0,0.0
500,200,100,10,0.0,0.0,0.0
500,200,10000,1,0.0,0.0,0.0
500,200,10000,2,0.001,0.0,0.001
500,200,10000,3,0.001,0.0,0.001
500,200,10000,4,0.0,0.001,0.001
500,200,10000,5,0.0,0.001,0.001
500,200,10000,6,0.0,0.001,0.001
500,200,10000,7,0.0,0.0,0.0
500,200,10000,8,0.001,0.0,0.001
500,200,10000,9,0.001,0.0,0.001
500,200,10000,10,0.0,0.0,0.0
500,200,1000000,1,0.024,0.019,0.043
500,200,1000000,2,0.019,0.018,0.037
500,200,1000000,3,0.019,0.018,0.037
500,200,1000000,4,0.02,0.017,0.037
500,200,1000000,5,0.021,0.019,0.04
500,200,1000000,6,0.02,0.018,0.038
500,200,1000000,7,0.021,0.019,0.04
500,200,1000000,8,0.019,0.02,0.039
500,200,1000000,9,0.02,0.019,0.039
500,200,1000000,10,0.02,0.021,0.041
500,200,100000000,1,1.63,1.691,3.321
500,200,100000000,2,2.637,1.361,3.998
500,200,100000000,3,1.171,1.164,2.335
500,200,100000000,4,1.206,1.183,2.389
500,200,100000000,5,1.179,1.156,2.335
500,200,100000000,6,1.146,1.153,2.299
500,200,100000000,7,1.184,1.116,2.3
500,200,100000000,8,1.252,1.148,2.4
500,200,100000000,9,1.153,1.158,2.311
500,200,100000000,10,1.163,1.715,2.878
1000,400,100,1,0.0,0.0,0.0
1000,400,100,2,0.001,0.0,0.001
1000,400,100,3,0.0,0.0,0.0
1000,400,100,4,0.0,0.001,0.001
1000,400,100,5,0.0,0.0,0.0
1000,400,100,6,0.0,0.0,0.0
1000,400,100,7,0.0,0.0,0.0
1000,400,100,8,0.0,0.0,0.0
1000,400,100,9,0.0,0.0,0.0
1000,400,100,10,0.0,0.0,0.0
1000,400,10000,1,0.002,0.0,0.002
1000,400,10000,2,0.001,0.0,0.001
1000,400,10000,3,0.0,0.0,0.0
1000,400,10000,4,0.001,0.0,0.001
1000,400,10000,5,0.0,0.001,0.001
1000,400,10000,6,0.002,0.0,0.002
1000,400,10000,7,0.001,0.0,0.001
1000,400,10000,8,0.0,0.001,0.001
1000,400,10000,9,0.0,0.0,0.0
1000,400,10000,10,0.001,0.0,0.001
1000,400,1000000,1,0.033,0.019,0.052
1000,400,1000000,2,0.032,0.019,0.051
1000,400,1000000,3,0.055,0.018,0.073
1000,400,1000000,4,0.028,0.018,0.046
1000,400,1000000,5,0.03,0.019,0.049
1000,400,1000000,6,0.038,0.023,0.061
1000,400,1000000,7,0.042,0.033,0.075
1000,400,1000000,8,0.074,0.038,0.112
1000,400,1000000,9,0.038,0.019,0.057
1000,400,1000000,10,0.061,0.024,0.085
1000,400,100000000,1,3.843,2.143,5.986
1000,400,100000000,2,4.011,2.274,6.285
1000,400,100000000,3,4.0,2.131,6.131
1000,400,100000000,4,4.196,2.123,6.319
1000,400,100000000,5,4.292,2.173,6.465
1000,400,100000000,6,3.936,1.982,5.918
1000,400,100000000,7,4.429,2.168,6.597
1000,400,100000000,8,4.449,2.091,6.54
1000,400,100000000,9,3.878,2.04,5.918
1000,400,100000000,10,3.774,1.885,5.659
