Grid Dimensions,Threads,Total Particles,Iteration,Time (seconds)
1000 x 400,2,14000000,1,0.103273
1000 x 400,2,14000000,2,0.105654
1000 x 400,2,14000000,3,0.100574
1000 x 400,2,14000000,4,0.098672
1000 x 400,2,14000000,5,0.102007
1000 x 400,2,14000000,6,0.102574
1000 x 400,2,14000000,7,0.100809
1000 x 400,2,14000000,8,0.106976
1000 x 400,2,14000000,9,0.102737
1000 x 400,2,14000000,10,0.100058
1000 x 400,4,14000000,1,0.063093
1000 x 400,4,14000000,2,0.053292
1000 x 400,4,14000000,3,0.054405
1000 x 400,4,14000000,4,0.056518
1000 x 400,4,14000000,5,0.053768
1000 x 400,4,14000000,6,0.053266
1000 x 400,4,14000000,7,0.055082
1000 x 400,4,14000000,8,0.054131
1000 x 400,4,14000000,9,0.055172
1000 x 400,4,14000000,10,0.053499
1000 x 400,8,14000000,1,0.064168
1000 x 400,8,14000000,2,0.082207
1000 x 400,8,14000000,3,0.066024
1000 x 400,8,14000000,4,0.064384
1000 x 400,8,14000000,5,0.063959
1000 x 400,8,14000000,6,0.063685
1000 x 400,8,14000000,7,0.064044
1000 x 400,8,14000000,8,0.064127
1000 x 400,8,14000000,9,0.063812
1000 x 400,8,14000000,10,0.070477
1000 x 400,16,14000000,1,0.173510
1000 x 400,16,14000000,2,0.180146
1000 x 400,16,14000000,3,0.176845
1000 x 400,16,14000000,4,0.181300
1000 x 400,16,14000000,5,0.192537
1000 x 400,16,14000000,6,0.174204
1000 x 400,16,14000000,7,0.179907
1000 x 400,16,14000000,8,0.177118
1000 x 400,16,14000000,9,0.175426
1000 x 400,16,14000000,10,0.178208
