Grid Dimensions,Threads,Total Particles,Interpolation Time,Normalization Time,Mover Time,Denormalization Time,Algorithm Time,Voids
250 x 100,1,900000,0.247281,0.001546,0.281123,0.000791,0.530740,2
250 x 100,2,900000,0.123933,0.000838,0.142368,0.000766,0.267905,2
250 x 100,4,900000,0.080228,0.000532,0.076218,0.000497,0.157475,2
250 x 100,8,900000,0.043517,0.000355,0.041138,0.000408,0.085418,2
250 x 100,16,900000,0.050387,0.000379,0.038761,0.000621,0.090147,2
250 x 100,1,5000000,1.315100,0.001526,1.516532,0.000779,2.833937,15
250 x 100,2,5000000,0.728795,0.000901,0.846440,0.001145,1.577281,15
250 x 100,4,5000000,0.363207,0.000495,0.424369,0.000658,0.788729,15
250 x 100,8,5000000,0.192709,0.000378,0.216239,0.000342,0.409668,15
250 x 100,16,5000000,0.175341,0.000398,0.190565,0.001016,0.367321,15
500 x 200,1,3600000,1.441771,0.006044,1.629959,0.003267,3.081041,3
500 x 200,2,3600000,1.380664,0.003336,1.562305,0.002755,2.949060,3
500 x 200,4,3600000,0.503202,0.002723,0.587617,0.002603,1.096145,3
500 x 200,8,3600000,0.277612,0.001037,0.295436,0.001976,0.576061,3
500 x 200,16,3600000,0.293448,0.001490,0.196912,0.001168,0.493018,3
500 x 200,1,20000000,6.977906,0.006021,7.530541,0.003070,14.517539,7
500 x 200,2,20000000,3.992195,0.003077,4.767281,0.001781,8.764333,7
500 x 200,4,20000000,2.456971,0.001890,2.818509,0.001888,5.279258,7
500 x 200,8,20000000,1.500124,0.001286,1.734594,0.001537,3.237541,7
500 x 200,16,20000000,1.211197,0.001200,1.103209,0.001626,2.317231,7
1000 x 400,1,14000000,9.153022,0.027259,11.180659,0.012347,20.373288,0
1000 x 400,2,14000000,3.647902,0.016013,3.397076,0.007968,7.068958,0
1000 x 400,4,14000000,2.433635,0.006536,2.161165,0.004140,4.605476,0
1000 x 400,8,14000000,3.541763,0.004920,1.785302,0.005275,5.337262,0
1000 x 400,16,14000000,3.421246,0.058326,0.863142,0.026190,4.368904,0
