problem_size,record_type,total_cores,mpi,omp,time
250 100 900000,runtime,1,1,1,0.191410
250 100 900000,runtime,2,1,2,0.193353
250 100 900000,runtime,2,2,1,0.103070
250 100 900000,runtime,4,1,4,0.195045
250 100 900000,runtime,4,2,2,0.105247
250 100 900000,runtime,4,4,1,0.061290
250 100 900000,runtime,8,1,8,0.203282
250 100 900000,runtime,8,2,4,0.105478
250 100 900000,runtime,8,4,2,0.062806
250 100 900000,runtime,16,1,16,0.222045
250 100 900000,runtime,16,2,8,0.114819
250 100 900000,runtime,16,4,4,0.064765
250 100 900000,runtime,32,2,16,0.127770
250 100 900000,runtime,32,4,8,0.074792
250 100 900000,runtime,64,4,16,0.087869
250 100 900000,runtime,1,1,1,0.191410
250 100 900000,runtime,2,2,1,0.103070
250 100 900000,runtime,4,4,1,0.061290
250 100 900000,runtime,8,4,2,0.062806
250 100 900000,runtime,16,4,4,0.064765
250 100 900000,runtime,32,4,8,0.074792
250 100 900000,runtime,64,4,16,0.087869
250 100 5000000,runtime,1,1,1,1.027976
250 100 5000000,runtime,2,1,2,1.051806
250 100 5000000,runtime,2,2,1,0.514437
250 100 5000000,runtime,4,1,4,1.070628
250 100 5000000,runtime,4,2,2,0.530545
250 100 5000000,runtime,4,4,1,0.446227
250 100 5000000,runtime,8,1,8,1.075459
250 100 5000000,runtime,8,2,4,0.535196
250 100 5000000,runtime,8,4,2,0.284658
250 100 5000000,runtime,16,1,16,1.091654
250 100 5000000,runtime,16,2,8,0.545742
250 100 5000000,runtime,16,4,4,0.281852
250 100 5000000,runtime,32,2,16,0.556859
250 100 5000000,runtime,32,4,8,0.290078
250 100 5000000,runtime,64,4,16,0.342982
250 100 5000000,runtime,1,1,1,1.027976
250 100 5000000,runtime,2,2,1,0.514437
250 100 5000000,runtime,4,4,1,0.446227
250 100 5000000,runtime,8,4,2,0.284658
250 100 5000000,runtime,16,4,4,0.281852
250 100 5000000,runtime,32,4,8,0.290078
250 100 5000000,runtime,64,4,16,0.342982
500 200 3600000,runtime,1,1,1,1.164214
500 200 3600000,runtime,2,1,2,0.982476
500 200 3600000,runtime,2,2,1,0.589576
500 200 3600000,runtime,4,1,4,0.975039
500 200 3600000,runtime,4,2,2,0.574549
500 200 3600000,runtime,4,4,1,0.359737
500 200 3600000,runtime,8,1,8,1.008219
500 200 3600000,runtime,8,2,4,0.580613
500 200 3600000,runtime,8,4,2,0.372023
500 200 3600000,runtime,16,1,16,1.055113
500 200 3600000,runtime,16,2,8,0.601885
500 200 3600000,runtime,16,4,4,0.388904
500 200 3600000,runtime,32,2,16,0.635818
500 200 3600000,runtime,32,4,8,0.409167
500 200 3600000,runtime,64,4,16,0.459101
500 200 3600000,runtime,1,1,1,1.164214
500 200 3600000,runtime,2,2,1,0.589576
500 200 3600000,runtime,4,4,1,0.359737
500 200 3600000,runtime,8,4,2,0.372023
500 200 3600000,runtime,16,4,4,0.388904
500 200 3600000,runtime,32,4,8,0.409167
500 200 3600000,runtime,64,4,16,0.459101
500 200 20000000,runtime,1,1,1,8.204044
500 200 20000000,runtime,2,1,2,5.277911
500 200 20000000,runtime,2,2,1,3.157979
500 200 20000000,runtime,4,1,4,5.305894
500 200 20000000,runtime,4,2,2,3.093623
500 200 20000000,runtime,4,4,1,1.903009
500 200 20000000,runtime,8,1,8,5.323463
500 200 20000000,runtime,8,2,4,3.117677
500 200 20000000,runtime,8,4,2,1.932067
500 200 20000000,runtime,16,1,16,5.446096
500 200 20000000,runtime,16,2,8,3.150996
500 200 20000000,runtime,16,4,4,1.963860
500 200 20000000,runtime,32,2,16,3.198605
500 200 20000000,runtime,32,4,8,1.995411
500 200 20000000,runtime,64,4,16,2.026367
500 200 20000000,runtime,1,1,1,8.204044
500 200 20000000,runtime,2,2,1,3.157979
500 200 20000000,runtime,4,4,1,1.903009
500 200 20000000,runtime,8,4,2,1.932067
500 200 20000000,runtime,16,4,4,1.963860
500 200 20000000,runtime,32,4,8,1.995411
500 200 20000000,runtime,64,4,16,2.026367
1000 400 14000000,runtime,1,1,1,4.528995
1000 400 14000000,runtime,2,1,2,4.300401
1000 400 14000000,runtime,2,2,1,2.370507
1000 400 14000000,runtime,4,1,4,4.518688
1000 400 14000000,runtime,4,2,2,2.268461
1000 400 14000000,runtime,4,4,1,1.527449
1000 400 14000000,runtime,8,1,8,4.448142
1000 400 14000000,runtime,8,2,4,2.385547
1000 400 14000000,runtime,8,4,2,1.585450
1000 400 14000000,runtime,16,1,16,5.257470
1000 400 14000000,runtime,16,2,8,2.508680
1000 400 14000000,runtime,16,4,4,1.657643
1000 400 14000000,runtime,32,2,16,2.828571
1000 400 14000000,runtime,32,4,8,1.837902
1000 400 14000000,runtime,64,4,16,1.977524
1000 400 14000000,runtime,1,1,1,4.528995
1000 400 14000000,runtime,2,2,1,2.370507
1000 400 14000000,runtime,4,4,1,1.527449
1000 400 14000000,runtime,8,4,2,1.585450
1000 400 14000000,runtime,16,4,4,1.657643
1000 400 14000000,runtime,32,4,8,1.837902
1000 400 14000000,runtime,64,4,16,1.977524
